순번	업소명	소재지(도로명)	메뉴카테고리	하위 분류
157	명덕총각족발 현풍테크노점	대구광역시 달성군 유가읍 테크노상업로4길 17-5, 101, 102호	족발&보쌈	족발
158	상구네돼지구이 테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로4길 17-5, 105,106호	고기구이	돼지
159	산더미 미성 돼지국밥 현풍점	대구광역시 달성군 유가읍 테크노상업로4길 17-5, 1층 103,104호	국밥	돼지국밥
160	마싯다 양꼬치	대구광역시 달성군 유가읍 테크노상업로4길 17-5, 2층 201호	고기구이	양
161	[확인필요]오원	대구광역시 달성군 유가읍 테크노상업로4길 17-9, 101,102,103호	확인필요	
162	대구곱이곱다 대구직영점	대구광역시 달성군 유가읍 테크노상업로4길 17-9, 유가타워 1층 109,110호	막창&곱창	
163	현풍감자탕	대구광역시 달성군 유가읍 테크노상업로4길 17-9, 유가타워 2층 203,204호	국밥	감자탕
164	吉조선한우	대구광역시 달성군 유가읍 테크노상업로4길 18-12, 110호	고기구이	소
165	일품생고기	대구광역시 달성군 유가읍 테크노상업로4길 18-12, 1층 101호	술집	생고기전문점
166	이자카야 토라 대구테크노점	대구광역시 달성군 유가읍 테크노상업로4길 18-12, 1층 102,103,105호	술집	이자카야
167	영남막회초장	대구광역시 달성군 유가읍 테크노상업로4길 18-12, 1층 106,107호	회해산물	
168	다다 해산물	대구광역시 달성군 유가읍 테크노상업로4길 18-12, 1층 108호	회해산물	해산물
169	단술애(愛)	대구광역시 달성군 유가읍 테크노상업로4길 18-12, 1층 109호	술집	이자카야
170	백마루	대구광역시 달성군 유가읍 테크노상업로4길 18-12, 1층 111,112호	술집	아나고전문점
171	제니바	대구광역시 달성군 유가읍 테크노상업로4길 18-12, 201호일부	술집	바
172	서민참치	대구광역시 달성군 유가읍 테크노상업로4길 18-12, 4층	회해산물	참치회
173	김태주선산곱창 현풍점(테크노폴리스)	대구광역시 달성군 유가읍 테크노상업로4길 18-16, 102,103호	확인필요	
174	수참치	대구광역시 달성군 유가읍 테크노상업로4길 18-16, 104호	회해산물	참치회
175	황금 포차	대구광역시 달성군 유가읍 테크노상업로4길 18-16, 107호	한식	여러가지
176	돼지공장	대구광역시 달성군 유가읍 테크노상업로4길 18-16, 108,109호	고기구이	돼지
177	모주	대구광역시 달성군 유가읍 테크노상업로4길 18-16, 1층 106호	고기구이	기타(숯불)
178	나인바	대구광역시 달성군 유가읍 테크노상업로4길 18-16, 302호일부	술집	바
179	봉자막창 유가점	대구광역시 달성군 유가읍 테크노상업로4길 18-20, 1층 101,102호	막창&곱창	
180	꾸석지돌판한우 테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로4길 18-20, 1층 105,106호	고기구이	소
181	칭따오양꼬치	대구광역시 달성군 유가읍 테크노상업로4길 18-8, 1층 108호	고기구이	양
182	심야오뎅 테크노점	대구광역시 달성군 유가읍 테크노상업로4길 18-8, 1층 110호	술집	오뎅전문점
183	하루맥주	대구광역시 달성군 유가읍 테크노상업로4길 18-8, 은석타운 101호	술집	맥주
184	더마이치킨	대구광역시 달성군 유가읍 테크노상업로4길 18-8, 은석타운 109호	치킨&찜닭	치킨
185	또이스치킨찜닭 테크노점	대구광역시 달성군 유가읍 테크노상업로4길 18-8, 은석타운 1층 102, 103호	치킨&찜닭	치킨
186	[확인필요]홍고추불닭발 테크노점	대구광역시 달성군 유가읍 테크노상업로4길 18-8, 은석타운 1층 102,103호	확인필요	
187	황금돈	대구광역시 달성군 유가읍 테크노상업로4길 18-8, 은석타운 1층 105,106호	고기구이	돼지
188	낙소당(현풍 테크노폴리스점)	대구광역시 달성군 유가읍 테크노상업로4길 18-8, 은석타운 1층 107호	막창&곱창	
189	미미관마라탕 현풍점	대구광역시 달성군 유가읍 테크노상업로4길 7-4, 102호 (로얄타워)	다국적음식	중국음식
190	비빔면가(현풍점)	대구광역시 달성군 유가읍 테크노상업로4길 7-4, 103호	국수	
191	컴포즈커피 테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로4길 7-4, 107호 (로얄타워)	카페&디저트	
192	꾸버찌	대구광역시 달성군 유가읍 테크노상업로4길 7-4, 111호	술집	꼬치전문점
193	대한콩국 현풍점	대구광역시 달성군 유가읍 테크노상업로4길 7-4, 1층 110호	카페&디저트	콩국
194	별빛	대구광역시 달성군 유가읍 테크노상업로4길 7-8, 1층	술집	해산물
195	라이첸 현풍테크노점	대구광역시 달성군 유가읍 테크노상업로4길 7-8, 1층 103,104호	다국적음식	베트남음식
196	막창존(막창ZONE)	대구광역시 달성군 유가읍 테크노상업로4길 7-8, 1층 106호	막창&곱창	
197	철길부산집 대구테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로4길 7-8, 1층 107호	술집	이
198	김복남맥주 달성테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로4길 7-8, 1층 108-109호	술집	맥주
199	샤브야키 현풍테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로4길 7-8, 2층	다국적음식	일본음식
200	해탄(현풍테크노점)	대구광역시 달성군 유가읍 테크노상업로4길 8-11, 1층 101호	한식	볶음
201	현대옥 대구현풍테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로4길 8-11, 1층 102호	국밥	콩나물국밥
202	신마라 현풍테크노점	대구광역시 달성군 유가읍 테크노상업로4길 8-11, 1층 103호	확인필요	
203	수성리	대구광역시 달성군 유가읍 테크노상업로4길 8-11, 1층 104호	고기구이	돼지, 소
204	봉리610 포차	대구광역시 달성군 유가읍 테크노상업로4길 8-11, 1층 105호	술집	포차
205	연막창 현풍테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로4길 8-11, 1층 106호	막창&곱창	
206	이사장네 품격돼지	대구광역시 달성군 유가읍 테크노상업로4길 8-15, 1층 101,102,108,109호	고기구이	돼지
207	사운즈커피미니 테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로4길 8-15, 1층 104,105호	카페&디저트	
208	치맥킹 현풍테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로4길 8-15, 1층 106,107,112,113호	치킨&찜닭	치킨
209	조개랑	대구광역시 달성군 유가읍 테크노상업로4길 8-7, 108호	회해산물	조개
210	유가네닭갈비대구현풍점	대구광역시 달성군 유가읍 테크노상업로4길 8-7, 1층 101,102호	치킨&찜닭	닭갈비
211	마선생 얼큰국밥 테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로4길 8-7, 1층 103,105호	국밥	돼지국밥
212	청년다방 대구테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로4길 8-7, 1층 106,107호	분식&패스트푸드&샐러드	
213	뜨밤포차 현풍테크노점	대구광역시 달성군 유가읍 테크노상업로4길 8-7, 1층 110호	술집	포차
214	[확인필요] 이가네. 국수.	대구광역시 달성군 유가읍 테크노상업로4길 8-7, 1층 111호	확인필요	
215	본가옛날통닭 테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로4길 8-7, 1층 112,113호	치킨&찜닭	치킨
216	[확인필요] 상해탄 훠궈	대구광역시 달성군 유가읍 테크노상업로4길 8-7, 2층 207호	확인필요	
217	이응베이글	대구광역시 달성군 유가읍 테크노중앙대로 240, 101호	카페&디저트	베이글
218	커피내리는부부	대구광역시 달성군 유가읍 테크노중앙대로 240, 1층 106호	카페&디저트	
219	유가국수	대구광역시 달성군 유가읍 테크노중앙대로 240, 1층 107호	국수	
220	크렘	대구광역시 달성군 유가읍 테크노중앙대로 240, 1층 111호	카페&디저트	
221	백소정 대구테크노폴리스점	대구광역시 달성군 유가읍 테크노중앙대로 240, 1층 112,113호	다국적음식	일본음식
222	턴커피(Turncoffee) 현풍점	대구광역시 달성군 유가읍 테크노중앙대로 240, 210호	카페&디저트	
223	[확인필요]샐러드부부	대구광역시 달성군 유가읍 테크노중앙대로 240, 2층 212호	확인필요	
224	투썸플레이스 대구테크노중앙로점	대구광역시 달성군 유가읍 테크노중앙대로 254, 1~2층 104,218,219호 	카페&디저트	
225	쿠우쿠우 현풍테크노점	대구광역시 달성군 유가읍 테크노중앙대로 254, 1001호,1002호	다국적음식	뷔페
226	교촌치킨 테크노폴리스점	대구광역시 달성군 유가읍 테크노중앙대로 254, 114호,115호 (하이젠스타)	치킨&찜닭	치킨
227	본도시락 대구현풍점	대구광역시 달성군 유가읍 테크노중앙대로 254, 하이젠스타 107호	분식&패스트푸드&샐러드	도시락
228	일차전	대구광역시 달성군 유가읍 테크노중앙대로 254, 하이젠스타 119호	술집	전집
229	카페요아정 테크노폴리스점	대구광역시 달성군 유가읍 테크노중앙대로 254, 하이젠스타 1층 101호	카페&디저트	아이스크림
230	달브로(현풍점)	대구광역시 달성군 유가읍 테크노중앙대로 254, 하이젠스타 208호	카페&디저트	
231	여부초밥 현풍테크노점	대구광역시 달성군 유가읍 테크노중앙대로 254, 하이젠스타 2층 205호	다국적음식	일본음식
232	[확인필요] 데일리	대구광역시 달성군 유가읍 테크노중앙대로 254, 하이젠스타 2층 213호	확인필요	
